"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"France","Fort-de-France","Population, all ages, administrative data",379739,377739,376104,372379,369674,368173,365409,361277,357717,354241,350298,2.213749,46.227638
"France","Grenoble","Population, all ages, administrative data",690338,693272,698330,702884,707495,710860,713531,711423,713291,714799,717469,5.724524,45.188529
"France","Hayange","Population, all ages, administrative data",292186,293031,294376,296502,298146,298986,299392,300875,302104,303051,305306,6.062166,49.329827
"France","Le Havre","Population, all ages, administrative data",339602,339221,338437,338073,337187,338435,338415,336852,336801,337086,335941,0.107929,49.49437
"France","Le Mans","Population, all ages, administrative data",357563,359742,361934,363691,365559,365982,366196,366172,366377,367082,368509,0.199556,48.00611
"France","Lens","Population, all ages, administrative data",323167,322569,322814,320959,320114,321362,321828,321233,321080,321024,320551,2.83183,50.42893
"France","Lille","Population, all ages, administrative data",1454449,1459564,1461966,1470295,1480418,1487003,1490365,1494116,1498143,1503719,1510079,3.057256,50.62925
"France","Limoges","Population, all ages, administrative data",322795,324338,324421,324385,324430,325131,325055,324666,324511,323789,323239,1.261105,45.833619
"France","Lyon","Population, all ages, administrative data",2072413,2091488,2111987,2135294,2157342,2183212,2208297,2226734,2238656,2259411,2280845,4.835659,45.764043
"France","Marseille","Population, all ages, administrative data",1800563,1804777,1808038,1815196,1823990,1834927,1843602,1847729,1851736,1863762,1873270,5.36978,43.296482
"France","Metz","Population, all ages, administrative data",363929,364307,364348,364812,365310,364790,365405,367388,366992,367851,370889,6.1757156,49.1193089
"France","Montpellier","Population, all ages, administrative data",689414,698392,712743,722859,733465,745625,756818,766651,775862,787705,801595,3.876716,43.610769
"France","Mulhouse","Population, all ages, administrative data",405021,404434,406591,408461,410800,409883,409596,409076,409929,409981,410254,7.335888,47.750839
"France","Nancy","Population, all ages, administrative data",510751,511234,511697,511901,509872,510524,512189,511496,511257,510496,510306,6.184417,48.692054
"France","Nantes","Population, all ages, administrative data",881395,892811,904218,917944,929153,943871,959251,971685,983310,997222,1011020,-1.553621,47.218371
"France","Nice","Population, all ages, administrative data",601822,603522,604433,603992,602876,605005,605615,606412,606494,609695,615126,7.2619532,43.7101728
"France","Nîmes","Population, all ages, administrative data",319102,322844,328503,332737,338795,340567,341582,343484,344910,345670,346059,4.360054,43.836699
"France","Orléans","Population, all ages, administrative data",426083,428397,430319,432433,434866,438736,441890,443748,447829,449299,451373,1.909251,47.902964
"France","Paris","Population, all ages, administrative data",12551600,12613906,12684655,12734837,12800299,12872236,12930197,12965971,13024518,13064617,13114718,2.3522219,48.856614
"France","Pau","Population, all ages, administrative data",273751,274325,274727,274915,275758,277187,277503,278280,279139,278948,279384,-0.370797,43.2951
"France","Perpignan","Population, all ages, administrative data",380124,383052,387320,392701,397576,401041,405736,409160,409557,411617,415266,2.8948332,42.6886591
"France","Poitiers","Population, all ages, administrative data",264092,265228,267093,269128,270777,272484,274371,275514,276836,278167,279668,0.340375,46.580224
"France","Reims","Population, all ages, administrative data",344377,344574,346092,348281,349754,351097,353152,353268,353727,354618,354855,4.031696,49.258329
"France","Rennes","Population, all ages, administrative data",668636,677283,685296,695892,706069,715877,725248,732790,739974,747156,755668,-1.6777926,48.117266
"France","Rouen","Population, all ages, administrative data",683344,685242,687688,691257,693421,696278,697313,698641,699321,702945,705627,1.099971,49.443232
"France","Saint-Denis","Population, all ages, administrative data",292818,293447,295722,296894,297467,301138,304178,305627,307374,309635,314880,2.357443,48.936181
"France","Saint-Étienne","Population, all ages, administrative data",484079,484881,484753,489046,491266,491361,493147,495429,496132,497034,498849,4.3871779,45.439695
"France","Strasbourg","Population, all ages, administrative data",808135,809529,812265,817493,822144,824958,829006,834236,838566,846450,853110,7.7521113,48.5734053
"France","Toulon","Population, all ages, administrative data",542663,541932,541969,546677,547526,550737,555051,559075,561968,567353,573230,5.928,43.124228
